Bønesberget;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4601 Bergen
Børsa;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5029 Skaun
Bøverbru;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3443 Vestre Toten
Bøvågen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4631 Alver
Bålerud;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3007 Ringerike
Bårdshaug;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5059 Orkland
Båtsfjord;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5443 Båtsfjord
Båtstad;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1124 Sola
Båtstø;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3025 Asker
Dal;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3035 Eidsvoll
Dale;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4628 Vaksdal
Dale;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1505 Kristiansund
Dale;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3437 Sel
Dale;Godkjent;01/06/1986;Norsk;Tettsted;Kommune;4646 Fjaler
Dalen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3824 Tokke
Dalene;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4203 Arendal
Dammyra;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1833 Rana
Damsgård;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4601 Bergen
Degernes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3016 Rakkestad
Demmahågen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1834 Lurøy
Dikemark;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3025 Asker
Dilling;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3002 Moss
Dimmelsvik;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4617 Kvinnherad
Disenå;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3415 Sør-Odal
Dokka;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3448 Nordre Land
Dombås;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3431 Dovre
Dovre;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3431 Dovre
Drammen;Godkjent;01/07/1991;Norsk;By;Kommune;3005 Drammen
Drangedal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3815 Drangedal
Drøbak;Godkjent;01/07/1991;Norsk;By;Kommune;3022 Frogn
Dypedal;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3011 Hvaler
Dåsnes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4219 Evje og Hornnes
Egersund;Godkjent;01/07/1991;Norsk;By;Kommune;1101 Eigersund
Eggedal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3045 Sigdal
Eggkleiva;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5029 Skaun
Eggum;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1860 Vestvågøy
Eide;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1579 Hustadvika
Eide;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4618 Ullensvang
Eide;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4621 Voss
Eidet;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1867 Bø
Eidfjord;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4619 Eidfjord
Eidsdal;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1578 Fjord
